Number of newly added trainable parameters: 1800. Total number of trainable parameters: 1800
Number of newly added trainable parameters: 430. Total number of trainable parameters: 2230
⚠️ Starting from scratch...

--- 🚀 CHUNK 1/10 (100 trials) ---
Added 50 recordings. See `.recordings` for details.
Epoch 50: Loss 6045.2816
Epoch 51: Loss 5961.6419
Epoch 52: Loss 5643.4756
Epoch 53: Loss 6233.6089
Epoch 54: Loss 5901.0820
Epoch 55: Loss 5586.9699
Epoch 56: Loss 5746.4306
Epoch 57: Loss 5654.3877
Epoch 58: Loss 6225.2402
Epoch 59: Loss 5948.8532
Epoch 60: Loss 5495.5237
Epoch 61: Loss 5787.8808
Epoch 62: Loss 5882.7603
Epoch 63: Loss 6051.3117
Epoch 64: Loss 5803.5232
Epoch 65: Loss 5670.5719
Epoch 66: Loss 5938.4248
Epoch 67: Loss 5837.6119
Epoch 68: Loss 5895.8963
Epoch 69: Loss 6165.2726
Epoch 70: Loss 5572.4169
Epoch 71: Loss 5869.6721
Epoch 72: Loss 5592.0756
Epoch 73: Loss 5594.6457
Epoch 74: Loss 5745.2009
Epoch 75: Loss 5711.3697
Epoch 76: Loss 5694.2073
Epoch 77: Loss 5782.9698
Epoch 78: Loss 5640.6419
Epoch 79: Loss 5851.7092
Epoch 80: Loss 6160.9190
Epoch 81: Loss 6145.1565
Epoch 82: Loss 5846.2348
Epoch 83: Loss 5753.3112
Epoch 84: Loss 5786.2533
Epoch 85: Loss 5940.2776
Epoch 86: Loss 5610.8030
Epoch 87: Loss 5708.6539
Epoch 88: Loss 5735.9652
Epoch 89: Loss 5879.0016
Epoch 90: Loss 5939.1544
Epoch 91: Loss 5764.5715
Epoch 92: Loss 5569.2030
Epoch 93: Loss 5714.8374
Epoch 94: Loss 5877.0829
Epoch 95: Loss 5926.8581
Epoch 96: Loss 5865.6351
Epoch 97: Loss 6166.7772
Epoch 98: Loss 5923.4290
Epoch 99: Loss 5916.2839
Added 50 recordings. See `.recordings` for details.
📊 Chunk 6 Final Kappas - Pre: 0.1140 | Stim: 0.0796 | Post: 0.0910
⚠️ Total Kappa (0.2845) > 0.1. Continuing training...

--- 🚀 CHUNK 7/10 (100 trials) ---
Added 50 recordings. See `.recordings` for details.
Epoch 0: Loss 5787.2767
Epoch 1: Loss 5787.2767
Epoch 2: Loss 5902.0805
Epoch 3: Loss 5758.7049
Epoch 4: Loss 5758.7049
Epoch 5: Loss 5868.6225
Epoch 6: Loss 6177.8728
Epoch 7: Loss 6418.0448
Epoch 8: Loss 6180.6440
Epoch 9: Loss 6726.6535
Epoch 10: Loss 6351.4703
Epoch 11: Loss 6525.7170
Epoch 12: Loss 7090.6408
Epoch 13: Loss 6849.3142
Epoch 14: Loss 5786.7849
Epoch 15: Loss 5789.9208
Epoch 16: Loss 6802.4111
Epoch 17: Loss 5967.1278
Epoch 18: Loss 6412.5010
Epoch 19: Loss 6114.8880
Epoch 20: Loss 6116.1831
Epoch 21: Loss 6777.8116
Epoch 22: Loss 5944.0219
Epoch 23: Loss 6215.0429
Epoch 24: Loss 6076.1725
Epoch 25: Loss 5911.8967
Epoch 26: Loss 6301.9748
Epoch 27: Loss 6385.7677
Epoch 28: Loss 6235.0791
Epoch 29: Loss 6339.8942
Epoch 30: Loss 5876.1694
Epoch 31: Loss 6530.3910
Epoch 32: Loss 6109.9388
Epoch 33: Loss 6476.0156
Epoch 34: Loss 5948.5531
Epoch 35: Loss 6035.5918
Epoch 36: Loss 6396.0829
Epoch 37: Loss 6330.1216
Epoch 38: Loss 6424.8613
Epoch 39: Loss 6447.6067
Epoch 40: Loss 6025.8764
Epoch 41: Loss 5959.8226
Epoch 42: Loss 7591.3329
Epoch 43: Loss 7197.1495
Epoch 44: Loss 6020.0713
Epoch 45: Loss 5771.5346
Epoch 46: Loss 6402.6794
Epoch 47: Loss 5750.3828
Epoch 48: Loss 5750.3828
Epoch 49: Loss 5825.1550
Epoch 50: Loss 5667.9220
Epoch 51: Loss 5667.9220
Epoch 52: Loss 5981.8994
Epoch 53: Loss 5689.7614
Epoch 54: Loss 5735.1814
Epoch 55: Loss 6354.6939
Epoch 56: Loss 6152.8297
Epoch 57: Loss 5529.8878
Epoch 58: Loss 5529.8878
Epoch 59: Loss 5997.3686
Epoch 60: Loss 6385.5095
Epoch 61: Loss 5633.8069
Epoch 62: Loss 6139.8474
Epoch 63: Loss 6652.3647
Epoch 64: Loss 6001.5380
Epoch 65: Loss 5993.8909
Epoch 66: Loss 5998.8210
Epoch 67: Loss 6657.2062
Epoch 68: Loss 6701.1676
Epoch 69: Loss 6398.3542
Epoch 70: Loss 5878.0626
Epoch 71: Loss 6018.2468
Epoch 72: Loss 6158.2490
Epoch 73: Loss 6206.7027
Epoch 74: Loss 6121.6721
Epoch 75: Loss 5765.6472
Epoch 76: Loss 6018.7825
Epoch 77: Loss 6211.7376
Epoch 78: Loss 5993.7671
Epoch 79: Loss 6138.9633
Epoch 80: Loss 5957.1427
Epoch 81: Loss 6394.6294
Epoch 82: Loss 6104.9151
Epoch 83: Loss 6558.7606
Epoch 84: Loss 6850.5926
Epoch 85: Loss 6519.0501
Epoch 86: Loss 5817.3301
Epoch 87: Loss 5870.4884
Epoch 88: Loss 6281.8256
Epoch 89: Loss 5863.7125
Epoch 90: Loss 5860.2503
Epoch 91: Loss 6158.8629
Epoch 92: Loss 6025.2703
Epoch 93: Loss 6183.8667
Epoch 94: Loss 5904.1752
Epoch 95: Loss 5607.2830
Epoch 96: Loss 5809.3688
Epoch 97: Loss 5970.4080
Epoch 98: Loss 5968.6198
Epoch 99: Loss 5838.2595
Added 50 recordings. See `.recordings` for details.
📊 Chunk 7 Final Kappas - Pre: 0.1267 | Stim: 0.0989 | Post: 0.0902
⚠️ Total Kappa (0.3158) > 0.1. Continuing training...

--- 🚀 CHUNK 8/10 (100 trials) ---
Added 50 recordings. See `.recordings` for details.
Epoch 0: Loss 5953.5548
Epoch 1: Loss 5953.5548
Epoch 2: Loss 6528.5580
Epoch 3: Loss 6079.3175
Epoch 4: Loss 6287.6953
Epoch 5: Loss 6133.3069
Epoch 6: Loss 6208.4674
Epoch 7: Loss 6475.8584
Epoch 8: Loss 6703.0958
Epoch 9: Loss 6689.0422
Epoch 10: Loss 6992.4992
Epoch 11: Loss 5885.5751
Epoch 12: Loss 5885.5751
Epoch 13: Loss 5870.8115
Epoch 14: Loss 5870.8115
Epoch 15: Loss 5954.2866
Epoch 16: Loss 6190.2449
Epoch 17: Loss 6309.1130
Epoch 18: Loss 5988.5426
Epoch 19: Loss 5892.9498
Epoch 20: Loss 6062.1571
Epoch 21: Loss 6722.0497
Epoch 22: Loss 5870.2714
Epoch 23: Loss 5870.2714
Epoch 24: Loss 5826.5096
Epoch 25: Loss 5826.5096
Epoch 26: Loss 5876.0885
